"BIOCODE","RB_BIOCODE","CIU_BIOCODE","INACTIVE","DNCDN","TAXONOMIC","TAXON","RANK","CATEGORY","PBC","PARENT_BC","ADD_DATE","END_DATE","RE_ADD_DATE","IWOE_DATE","COMMENTS","RANK_NOTES","UPDATED_TAXON","CHANGE_REASON","KEEP_REASON","GOM_FC","MIN_M_FC","MAX_M_FC","EXCLUDE","EXCLUDE_COMMENT"
"328050401",,"328050401","0",,"ARCOPSIADAMSI","ARCOPSIS ADAMSI","SPECIES","3","1","328050400","3/8/2022 0:00",,,,,,,,,,,,,
"328045400",,"328045400","0",,"ASPERARCA","ASPERARCA","GENUS","3","1","328040000","3/8/2022 0:00",,,,,,,,,,,,,
"328045401",,"328045401","0",,"ASPERARSAGRIN","ASPERARCA SAGRINATA","SPECIES","3","1","328045400","3/8/2022 0:00",,,,,,,,,,,,,
"328045500","328042800","328042800","1",,"PARAGRAMMATOD","PARAGRAMMATODON","GENUS","3","1","328040000","3/8/2022 0:00","3/8/2022 0:00",,,,,,,,,,,,
"328045600","328040900","328040900","1",,"THRONACAR","THRONACAR","GENUS","3","1","328040000","3/8/2022 0:00","3/8/2022 0:00",,,,,,,,,,,,
"147071203",,"147071203","0",,"HYPORHAHILDEB","HYPORHAMPHUS HILDEBRANDI","SPECIES","1","1","147071200","10/29/2021 0:00",,,,,,,,,,,,,
"147071204",,"147071204","0",,"HYPORHAMEEKI","HYPORHAMPHUS MEEKI","SPECIES","1","1","147071200","10/29/2021 0:00",,,,,,,,,,,,,
"618010102",,"618010102","0",,"AURELIAINSULA","AURELIA INSULARIA","SPECIES","3","1","618010100","3/8/2022 0:00",,,,"Near islands in the S and SE coast of Brazil and Key Largo, FL",,,,,,,,"1","What we have traditionaly call A aurelia is no longer a valid species name in the GOM There are now 4 species in GOM or adjoining waters cannot be separated by morphology"
"618010103",,"618010103","0",,"AURELIARARA","AURELIA RARA","SPECIES","3","1","618010100","3/8/2022 0:00",,,,"Dauphine Island, AL",,,,,,,,"1","What we have traditionaly call A aurelia is no longer a valid species name in the GOM There are now 4 species in GOM or adjoining waters cannot be separated by morphology"
"618010104",,"618010104","0",,"AURELIAMARGIN","AURELIA MARGINALIS","SPECIES","3","1","618010100","3/8/2022 0:00",,,,"Across GOM",,,,,,,,"1","What we have traditionaly call A aurelia is no longer a valid species name in the GOM There are now 4 species in GOM or adjoining waters cannot be separated by morphology"
"618010105",,"618010105","0",,"AURELIAMONTYI","AURELIA MONTYI","SPECIES","3","1","618010100","3/8/2022 0:00",,,,"Eastern GOM",,,,,,,,"1","What we have traditionaly call A aurelia is no longer a valid species name in the GOM There are now 4 species in GOM or adjoining waters cannot be separated by morphology"
"308190148",,"308190148","0",,"CONUS  CANCAN","CONUS CANCELLATUS CANCELLATUS","SUBSPECIES","3","1","308190145","3/8/2022 0:00",,,,"GCRL 2022 updates",,,,,,,,,
"308190154",,"308190154","0",,"CONUS  ZICZAC","CONUS ZICZAC","SPECIES","3","1","308190100","3/8/2022 0:00",,,,"GCRL 2022 updates",,,,,,,,,
"308190155",,"308190155","0",,"CONUS  ZICZIC","CONUS ZICZAC ZICZAC","SUBSPECIES","3","1","308190154","3/8/2022 0:00",,,,"GCRL 2022 updates",,,,,,,,,
"308190156",,"308190156","0",,"CONUS  ZICARC","CONUS ZICZAC ARCHETYPUS","SUBSPECIES","3","1","308190154","3/8/2022 0:00",,,,"GCRL 2022 updates",,,,,,,,,
"328043609",,"328043609","0",,"ANADARACHEMNI","ANADARA CHEMNITZII","SPECIES","3","1","328043600","3/8/2022 0:00",,,,,,,,,,,,,
"328043610",,"328043610","0",,"ANADARASECERN","ANADARA SECERNENDA","SPECIES","3","1","328043600","3/8/2022 0:00",,,,,,,,,,,,,
"328043611",,"328043611","0",,"ANADARASECTIC","ANADARA SECTICOSTATA","SPECIES","3","1","328043600","3/8/2022 0:00",,,,,,,,,,,,,
"328044401",,"328044401","0",,"LUNARCAOVALIS","LUNARCA OVALIS","SPECIES","3","1","328044400","3/8/2022 0:00",,,,,,,,,,,,,
"328045700",,"328045700","0",,"LARKINIA","LARKINIA","GENUS","3","1","328040000","3/8/2022 0:00",,,,,,,,,,,,,
"328045800",,"328045800","0",,"SENILIA","SENILIA","GENUS","3","1","328040000","3/8/2022 0:00",,,,,,,,,,,,,
"328045900",,"328045900","0",,"TEGILLARCA","TEGILLARCA","GENUS","3","1","328040000","3/8/2022 0:00",,,,,,,,,,,,,
"328050500",,"328050500","0",,"SHELDONELLA","SHELDONELLA","GENUS","3","1","328050000","3/8/2022 0:00",,,,,,,,,,,,,
"170205100",,"170205100","0",,"EQUES","EQUES","GENUS","1","1","170200000","3/8/2022 0:00",,,,,,,,,,,,,
"170205101",,"170205101","0",,"EQUES  LANCEO","EQUES LANCEOLATUS","SPECIES","1","1","170205100","3/8/2022 0:00",,,,,,,,,,,,,
"170205102",,"170205102","0",,"EQUES  PUNCTA","EQUES PUNCTATUS","SPECIES","1","1","170205100","3/8/2022 0:00",,,,,,,,,,,,,
"229481100",,"229481100","0",,"MINYORHYNCHA","MINYORHYNCHA","GENUS","2","1","229480000","3/8/2022 0:00",,,,,,,,,,,,,
"229481101",,"229481101","0",,"MINYORHCRASSA","MINYORHYNCHA CRASSA","SPECIES","2","1","229481100","3/8/2022 0:00",,,,,,,,,,,,,
"229471300",,"229471300","0",,"POHLEUS","POHLEUS","GENUS","2","0","229470000","3/8/2022 0:00",,,,,,,,,,,,,
"229471301",,"229471301","0",,"POHLEUSSEPTEM","POHLEUS SEPTEMSPINOSUS","SPECIES","2","0","229471300","3/8/2022 0:00",,,,,,,,,,,,,
"308190157",,"308190157","0",,"CONUS  FLACAR","CONUS FLAVESCENS CARIBBAEUS","SUBSPECIES","3","1","308190113","3/8/2022 0:00",,,,"GCRL 2022 updates",,,,,,,,,
"170860000",,"170860000","0",,"SYNAGROPIDAE","SYNAGROPIDAE","FAMILY","1","0",,"3/8/2022 0:00",,,,"added to prevent furtuer use of 170560000 which should not have been used",,,,,,,,,
"170860100",,"170860100","0",,"CARAIBOPS","CARAIBOPS","GENUS","1","0","170860000","3/8/2022 0:00",,,,,,,,,,,,,
"170860101",,"170860101","0",,"CARAIBOTRISPI","CARAIBOPS TRISPINOSUS","SPECIES","1","0","170860100","3/8/2022 0:00",,,,,,,,,,,,,
"170860200",,"170860200","0",,"KAPERANGUS","KAPERANGUS","GENUS","1","0","170860000","3/8/2022 0:00",,,,,,,,,,,,,
"170860201",,"170860201","0",,"KAPERANMICROL","KAPERANGUS MICROLEPIS","SPECIES","1","0","170860200","3/8/2022 0:00",,,,,,,,,,,,,
"170870000",,"170870000","0",,"MALAKICHTHYID","MALAKICHTHYIDAE","FAMILY","1","0",,"3/8/2022 0:00",,,,"added to prevent furtuer use of 170560000 which should not have been used",,,,,,,,,
"170870100",,"170870100","0",,"VERILUS","VERILUS","GENUS","1","0","170870000","3/8/2022 0:00",,,,,,,,,,,,,
